Process#1,Process#2,set,ma,Process#3,set,ma,Process#4,set,ma,Process#5,set,ma,Process#6,set,ma,Process#7,set,ma,Process#8,set,ma,Process#9,set,ma,Process#10,set,ma,Process#11,set,ma,Process#12,set,ma,Process#13,set,ma,Process#14,set,ma,Process#15,set,ma,Process#16,set,ma,Process#17,set,ma,Process#18,set,ma,Process#19,set,ma,Process#20,set,ma
SZ,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,0,0,GS,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,0,0,GS,0,0,M2,0,0,LAP,0,0,T3,0,0,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,0,0,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,0.1,3.1,H1,0,0,GS,,,M2,,,WC,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,0,0,GS,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,0.2,4.1,H1,0,0,GS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,H1,,,GS,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0,0,M1,0.5,1,H1,0,0,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,L2,,,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L1,0,0,M1,0.2,1,H1,0,0,L1,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L1,0,0,M1,0.2,0.8,H1,0,0,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,0.5,2.2,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,0,0,6F,0,0,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,0.5,2.2,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,0,0,6F,0,0,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,0.5,1.2,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,0.5,1.2,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M2,,,WC,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,,,WC,,,M2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,,,WC,,,M2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,H1,,,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,H1,,,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,H1,,,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,6F,,,GD,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,6F,,,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,6F,,,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,6F,,,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,6F,,,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,M1,,,H1,,,GS,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,H1,,,GS,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,6F,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH,T2,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,0,0,6F,0,0,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,0,0,6F,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.2,1.1,H1,0,0,GS,0,0,L2,,,M2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.7,H1,0,0,GS,0,0,L2,,,M2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.4,3.6,H1,0,0,GS,0,0,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,3.1,M1,0.4,1.2,M1,,,H1,,,GS,,,L2,,,M2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0,0,H1,0,0,L2,0,0,H2,0,0,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,0.3,2,L2,0.3,1.5,PRS,0.2,0.3,L2,0.3,2.3,PRS,0.2,0.2,LAP,0.2,2,H2,0,0,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,3,M1,0.2,0.8,H1,0,0,GS,0,0,L2,0,0,PRS,0,0,L2,0,0,PRS,0,0,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,0,0,L2,,,M2,,,PRS,,,L2,,,PRS,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,EDM,,,PRS,,,M2,,,T3,,,XX,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,3.8,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,6.3,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,5,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.2,6,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0,0,M1,0.4,1.5,H1,0,0,GS,0.2,5,L2,0.5,4.7,M2,0,0,GS,,,L2,,,WC,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.2,0.9,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,0.3,3,L2,0.3,1.5,M2,0.2,0.3,PRS,0.2,0.3,L2,0.3,1.5,PRS,0.2,0.2,LAP,0.2,2,H2,0,0,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,
SZ,T2,0,0,L1,0.2,4.1,H1,0,0,GS,0.3,2,L2,0.3,1.5,M2,0.1,0.2,PRS,0.2,0.2,L2,0.3,2,M2,0.2,8,PRS,0.2,0.2,LAP,0.2,3,H2,0,0,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.3,41,H1,0,0,GS,0.3,2,L2,0.3,1.5,M2,0.1,0.3,PRS,0.2,0.3,L2,0.3,2.2,PRS,0.2,0.2,EDM,0.2,6,LAP,0.2,2,H2,0,0,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.2,1.2,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,0.3,2,L2,0.3,3,M2,0.4,0.2,PRS,0.2,0.2,L2,0.3,2.3,PRS,0.2,0.2,LAP,0.1,1.5,H2,0,0,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.7,H1,0,0,GS,0.2,4,L2,0.2,1.4,M2,0.1,0.2,PRS,0.2,0.2,L2,0,0,XZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.5,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.6,H1,0,0,GS,0.3,2,L2,0.2,1.4,M2,0.1,0.2,PRS,0.2,0.2,L2,0.4,2.1,M2,0.2,9,PRS,0.2,0.2,LAP,0.2,3,H2,0,0,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.4,2.9,H1,0,0,GS,,,L2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,
