Process#1,Process#2,set,ma,Process#3,set,ma,Process#4,set,ma,Process#5,set,ma,Process#6,set,ma,Process#7,set,ma,Process#8,set,ma,Process#9,set,ma,Process#10,set,ma,Process#11,set,ma,Process#12,set,ma,Process#13,set,ma,Process#14,set,ma,Process#15,set,ma,Process#16,set,ma,Process#17,set,ma,Process#18,set,ma,Process#19,set,ma,Process#20,set,ma
SZ,T2,0,0,L1,0.3,3.3,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,EDM,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.3,1.5,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0,0,T3,0,0,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,7,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,
SZ,T2,0,0,L1,0.4,3.6,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,EDM,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.3,2.8,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,,,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.7,H1,0,0,GS,,,L2,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,6,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,1.7,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.5,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.2,2.3,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.5,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.2,H1,0,0,GS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.8,H1,0,0,GS,,,L2,,,PRS,,,L2,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.7,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.2,2.7,H1,0,0,GS,0,0,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.5,4.7,H1,0,0,L2,0.2,1.4,M2,0.2,6,LAP,0,50,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.3,H1,0,0,GCY,,,L2,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,6,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,9,M1,0.2,1.2,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.2,2,H1,0,0,L2,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,M1,0.2,0.5,H1,0,0,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,M1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.4,2.4,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.7,1.7,H1,0,0,GCY,,,L2,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,0.5,M1,0.3,0.5,H1,,,GS,,,L2,,,PRS,,,L2,,,PRS,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.4,3,H1,0,0,L2,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,M1,0.2,0.5,H1,0,0,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,M1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.6,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,M2,,,LAP,,,PRS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,H1,0,0,GS,,,L2,,,M2,,,PRS,,,L2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.7,H1,0,0,L2,,,M2,,,LAP,,,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.7,H1,,,L2,,,M2,,,LAP,,,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,H1,,,GCY,,,L2,,,M2,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2.5,H1,,,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.3,3,H1,0,0,GS,,,L2,,,PRS,,,L2,,,PRS,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.4,H1,0,0,L2,0,0,XZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.8,M1,0.1,1.1,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,WC,,,M2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.8,H1,0,0,L2,,,M2,,,LAP,,,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,WC,,,M2,,,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.3,H1,0,0,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1,H1,0,0,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,WC,,,WG,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,3.3,H1,,,L2,,,M2,,,LAP,,,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,M1,,,H1,,,M2,,,GS,,,L2,,,WC,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,9,H1,,,GS,,,L2,,,M2,,,PRS,,,L2,,,M2,,,PRS,,,LAP,,,H2,,,LAP,,,PRS,,,M2,,,T3,,,XX,,,,,,,,
SZ,T2,0,0,L1,0.8,9.5,H1,,,GS,,,L2,,,PRS,,,L2,,,PRS,,,PRS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.8,H1,0,0,L2,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0,0,M1,0.1,0.5,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,3.5,M1,0.2,2.1,H1,,,GS,,,L2,,,M2,,,WC,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.5,M1,0.1,1.1,H1,,,GS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.2,1.7,H1,,,L2,,,M2,,,LAP,,,H2,,,T1,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0.3,2.5,H1,,,L2,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,H1,,,L2,,,M2,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,M1,,,H1,,,M2,,,GS,,,L2,,,WC,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,0.2,0.7,H1,0,0,GS,,,M2,,,WC,,,SCN,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2.9,H1,0,0,GS,0,0,L2,,,M2,,,EDM,,,SCN,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,7.3,H1,0,0,GS,0,0,L2,,,M2,,,SCN,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.8,H1,0,0,GS,,,L2,,,M2,,,SCN,,,LAP,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.5,M1,0.5,1,H1,0,0,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0,0,M1,0.2,1.1,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2,M1,0.5,1,H1,0,0,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,,,L1,,,M1,,,H1,,,GS,,,L2,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M2,0.03,0.94,H1,0,0,GS,0,0,T3,0,0,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,,,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,,,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,,,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,0,0,M1,,,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.3,M1,0.4,0.5,H1,0,0,GS,0,0,L2,0.2,1.3,WC,0,0,M2,,,SCN,,,LAP,,,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,M1,,,H1,,,GS,,,M2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,2.8,H1,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.4,1,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2.4,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.5,2.2,H1,,,L2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.3,1.2,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L1,0.4,1.7,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,H1,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,0,0,LAP,0,0,H2,0,0,L2,0,0,H2,0,0,L2,0,0,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,L2,,,H1,,,L2,,,H2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,T2,0,0,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ,T2,0,0,6F,,,EDM,,,H1,,,GS,,,T3,,,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
