Mfg.No.,PartsName,Material,SizeRemarks,PartsQuantity
250959894,DIE PART (FG),YXR3,35X56.3X150,1
250957003,DIE PART(FG),DM,76.8X265X350,2
250957016,DIE PART(FG),DM,76.8X265X350,2
250956998,DIE PART(FG),DM,80.6X240X350,1
250958425,DIE PART (FG),CENA-G,145X300X760,1
250956998,DIE PART(FG),DM,80.6X240X350,1
251063171,MACHINE,SKD61,225X125,1
250959613,DIE PART9FG),S50C,55X280X720,2
251064978,MACHINE,SKD61,225X125,3
251062315,DIE PART (FG),DAC,24.3X34.5X292,2
251062334,DIE PART (FG),YXR7,15X100X280,1
250959587,SPARE PART,DAC,58X375.4,2
251064360,DIE PART (FG),YXR3,35X56.3X150,2
251064376,DIE PART (FG),YXR33,35.2X58.2X150,2
251064347,DIE PART (FG),SLD,150X30,2
251064587,DIE PART (FG),DM,210X400X845,1
251064592,DIE PART (FG),DM,210X400X845,1
251064798,DIE PART (FG),SLD,150X30,1
251064814,DIE PART (FG),DAC,24.3X34.5X292,2
251064573,DIE PART (FG),DM,210X400X845,1
251064583,DIE PART (FG),DM,210X400X845,1
251065282,MACHINE,AUD60A,95X240X545,1
251065461,DIE PART (FG),SLD,37X140X170,2
251061676,DIE PART (FG),DAC,267.9X278,1
251063174,DIE PART(FG),DAC,24.3X34.5X292,2
250750280,3RD PROCESS DIE ASSY,DAC,250X192,1
250852643,3 PROCESS DIE ASSY,DAC,190X167,1
250855608,3 PROCESS DIE ASSY,DAC,126.5X182,1
250853409,3RD PROCESS DIE INSERT,DAC,145.7X202.1,1
250855081,4 PROCESS DIE ASSY,YXR33,64.11X105.61,1
250855085,4 PROCESS DIE ASSY,YXR33,83.63X119.55,1
250749416,4TH PROCESS DIE ASSY,DAC,168.63X88.06,1
250855000,4 PROCESS DIE ASSY,DAC,136.9X200,1
250749417,4TH PROCESS DIE ASSY,DAC,170.3X108.84,1
250749418,4TH PROCESS DIE ASSY,DAC,250X181.9,1
250855710,4TH PROCESS DIE ASSY,DAC,67.04X109.9,1
250956508,4 PROCESS LUBRICATION BRACKET,DAC,312.62X61.6,1
250956554,4TH PROCESS SKO PLATE,DAC,238X57,1
250856366,3RD PROCESS PUNCH,DAC,113X192.78,1
250856367,3ED PROCESS DIE ASSY,DAC,136.1X191.1,1
250856369,3RD PROCESS DIE ASSY,DAC,220X176.1,1
250856372,3 PROCESS LUBRICATION BRACKET,DAC,310X45,1
250956485,SIZING PUNCH BASE,DAC,98X172.8,1
250956538,4TH PROCESS PUNCH,YXR33,113X289.83,2
250956538,4TH PROCESS PUNCH,YXR33,113X289.83,1
250956538,4TH PROCESS PUNCH,YXR33,113X289.83,1
250956557,4TH PROCESS DIE ASSY,DAC,136.9X209.8,4
250956575,4TH PROCESS DIE ASSY,DAC,220X194.8,4
250960727,4 PROCESS PUNCH,QHZ,93X277.16,1
250959614,4TH PEOCESS DIE ASSY,DAC,67.04X109.9,2
251061737,4 PROCESS PUNCH,YXR33,88X275.22,1
250750270,3RD PROCESSDIE ASSY,DAC,165.9X207,1
251062870,4TH PROCESS PUNCH,QDH,108X243.1,1
251062645,4TH PROCESS DIE ASSY,DAC,67.04X109.9,1
250958520,4TH PROCESS DIE ASSY,DAC,67.04X109.9,1
250958532,4TH PEOCESS DIE ASSY,DAC,160.2X175.8,1
250958588,4TH PROCESS DIE ASSY,DAC,67.04X109.9,1
250958593,4TH PROCESS DIE ASSY,DAC,160.2X175.8,1
250959625,,DAC,260X120.8,1
250959627,,DAC,260X121.8,1
250959636,,DAC,260X121.8,1
250959638,,DAC,260X121.8,1
250960371,,DAC,106X127X190,30
250960382,,DAC,106X127X190,30
251063876,,DAC,60X260X260,1
251064155,1600T,QD61,139X102,3
251064156,1600T,QD61,139X102,3
251062964,,SLD-F,45.73X46.57X310.34,1
251062972,,SLD-F,46.58X53.96X245,1
251062973,,SLD-F,56.26X79.92X230.2,1
251062999,,SLD-F,46.6X72.44X260.4,1
251063001,,SLD-F,46.57X84.97X254.54,1
251063003,,SLD-F,46.65X72.64X260.34,1
251063004,,SLD-F,46.65X84.8X254.31,1
251063005,,SLD-F,56.25X80.06X230.35,1
251063007,,SLD-F,46.67X45.65X310.52,1
251063008,,SLD-F,46.66X54.49X245,1
251063364,,SLD-F,46.59X99.4X145.24,1
251063370,,SLD-F,48.46X69.78X130.4,1
251063373,,SLD-F,48.31X64.93X210.43,1
251063399,,SLD-F,48.34X64.9X210.35,1
251063400,,SLD-F,48.36X69.82X130.55,1
251063404,,SLD-F,46.55X99.16X145.15,1
251063405,,SLD-F,46.62X119.86X124.86,1
251063406,,SLD-F,52.9X59.84X97.41,1
251063421,,SLD-F,48.51X150.45X177.57,1
251063436,,SLD-F,56.58X94.79X194.93,1
251063437,,SLD-F,47.78X52.67X170.05,1
251063439,,SLD-F,56.6X95.05X194.93,1
251063454,,SLD-F,48.98X150.33X177.55,1
251063470,,SLD-F,52.91X59.95X97.45,1
250958362,,YXR33,46X151X171,1
251062446,,DACMAGIC,80X230X355,1
251063257,,DACMAGIC,100.85X107.06X146.58,1
251063282,MODEL:5LJ L/V,W360,57.54X99X151,1
251063312,HR3 INSERT-A,DAC-X,89.5X189X228,1
251063120,,DACMAGIC,80X230X355,1
251063253,,DACMAGIC,81X236X256,1
251063254,,DACMAGIC,81X236X256,1
251063255,6MA-0005,DACMAGIC,80.9X236X256,1
251063256,6MA-0006,DACMAGIC,80.9X236X256,1
251063518,MOVE CHILLVENT-0026,FDAC,55.5X80.5X115.5,4
251063519,FIX CAVITY-0003,DACMAGIC,76X231X371,1
251063520,FIX CAVITY-0004,DACMAGIC,76X231X371,1
251063522,MOVE CAVITY-0005,DACMAGIC,76X231X371,1
251063538,MOVE CAVITY-0006,DACMAGIC,76X231X371,1
251063621,FIX CAVITY-0003,DACMAGIC,76X231X371,1
251063662,FIX CAVITY-0004,DACMAGIC,76X231X371,1
251063688,FIX CHILLVENT 0025,FDAC,61.1X80.5X115.5,4
251063738,MOVE CAVITY-0005,DACMAGIC,76X231X371,1
251063762,MOVE CAVITY-0006,DACMAGIC,76X231X371,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
